gen#;sumfit;avgfit;minfit;maxfit
1;92.2279;9.22279;6.40754;11.5056
2;100.614;10.0614;5.02783;15.6558
3;116.303;11.6303;3.44916;23.5701
4;129.913;12.9913;3.44916;32.8366
5;154.793;15.4793;2.44505;51.5622
6;87.3772;8.73772;2.44505;22.8647
7;65.052;6.5052;1.7847;22.8647
8;41.891;4.1891;1.7847;7.42733
9;52.4934;5.24934;1.67079;12.4445
10;31.0534;3.10534;1.67079;5.99145
11;39.8563;3.98563;1.34959;9.47611
12;52.9969;5.29969;1.2735;24.965
13;51.0884;5.10884;1.2735;24.965
14;39.5973;3.95973;1.1606;9.006
15;71.3546;7.13546;1.15208;24.965
16;72.969;7.2969;1.09441;28.3661
17;40.9188;4.09188;1.09441;13.5985
18;31.1931;3.11931;1.09441;12.1931
19;33.277;3.3277;1.04218;12.1931
20;22.6196;2.26196;1.00144;6.19325
21;19.4076;1.94076;1.00144;3.61768
22;16.6617;1.66617;1.00144;3.05577
23;19.7762;1.97762;0.985461;4.81921
24;16.1892;1.61892;0.917124;4.81921
25;14.4871;1.44871;0.631397;4.81921
26;9.79225;0.979225;0.342117;1.10744
27;9.76046;0.976046;0.342117;1.10744
28;9.41924;0.941924;0.342117;1.10513
29;9.1945;0.91945;0.342117;1.05078
30;8.86187;0.886187;0.342117;1.03443
31;8.39586;0.839586;0.342117;1.04802
32;8.58903;0.858903;0.0114749;1.04958
33;8.77744;0.877744;0.0114749;1.0338
34;9.26459;0.926459;0.0114749;1.09871
35;9.17541;0.917541;0.0114749;1.0482
36;8.00172;0.800172;0.0114749;1.02063
37;7.11515;0.711515;0.0114749;1.0193
38;5.47091;0.547091;0.0114749;0.940429
39;2.99879;0.299879;0.0114749;0.856915
40;3.75017;0.375017;0.0114749;0.837708
41;5.13368;0.513368;0.00872798;1.00949
42;6.36601;0.636601;0.00872798;1.12022
43;5.81635;0.581635;0.00872798;1.12022
44;3.5412;0.35412;0.00872798;0.890073
45;2.75981;0.275981;0.00872798;0.937536
46;2.98409;0.298409;0.00817291;0.593552
47;2.95131;0.295131;0.00817291;0.92913
48;2.62451;0.262451;0.00817291;0.586528
49;2.92674;0.292674;0.00817291;0.847707
50;2.08793;0.208793;0.00817291;0.534316
51;1.6581;0.16581;0.00817291;0.80274
52;0.802502;0.0802502;0.00817291;0.162272
53;1.00615;0.100615;0.00781046;0.221136
54;0.596988;0.0596988;0.00781046;0.142092
55;0.515164;0.0515164;0.00781046;0.115677
56;0.656765;0.0656765;0.00781046;0.182352
57;0.626746;0.0626746;0.00761433;0.322318
58;0.745881;0.0745881;0.000486196;0.324903
59;0.614755;0.0614755;0.000486196;0.18231
60;0.627945;0.0627945;0.000486196;0.18231
61;0.372691;0.0372691;0.000486196;0.124058
62;0.317887;0.0317887;0.000486196;0.116202
63;0.413156;0.0413156;0.000486196;0.116202
64;0.355425;0.0355425;0.000486196;0.116202
65;0.200687;0.0200687;0.000486196;0.051015
66;0.132655;0.0132655;5.0295e-005;0.0346211
67;0.0928643;0.00928643;5.0295e-005;0.0242137
68;0.0780698;0.00780698;5.0295e-005;0.0272129
69;0.0246312;0.00246312;5.0295e-005;0.007049
70;0.0115542;0.00115542;5.0295e-005;0.00239326
71;0.0059554;0.00059554;5.0295e-005;0.00165895
72;0.00526936;0.000526936;5.0295e-005;0.00177359
73;0.00593848;0.000593848;2.73636e-005;0.00149233
74;0.00501256;0.000501256;1.71462e-005;0.00149233
75;0.0090951;0.00090951;1.71462e-005;0.00602362
76;0.030444;0.0030444;1.71462e-005;0.0253368
77;0.00982831;0.000982831;1.71462e-005;0.00594955
78;0.0142127;0.00142127;1.71462e-005;0.00594955
79;0.00789055;0.000789055;1.71462e-005;0.00214712
80;0.00475001;0.000475001;1.71462e-005;0.00134777
81;0.00241994;0.000241994;1.71462e-005;0.000767453
82;0.00234999;0.000234999;1.71462e-005;0.000694603
83;0.00122231;0.000122231;1.71462e-005;0.000351953
84;0.00097381;9.7381e-005;1.1341e-005;0.000187406
85;0.000850836;8.50836e-005;1.1341e-005;0.000149775
86;0.000732337;7.32337e-005;1.1341e-005;0.000171906
87;0.000461597;4.61597e-005;1.1341e-005;0.000107379
88;0.000692454;6.92454e-005;8.78297e-006;0.000327074
1;83.3502;8.33502;4.4493;11.5784
2;101.818;10.1818;4.34279;22.6064
3;126.058;12.6058;2.42899;35.0772
4;141.64;14.164;2.42899;35.0772
5;120.886;12.0886;1.7746;35.0772
6;71.4053;7.14053;1.7746;15.1743
7;63.0189;6.30189;1.7746;14.4584
8;57.3755;5.73755;1.7746;14.7286
9;35.4998;3.54998;1.7746;5.93367
10;36.9581;3.69581;1.52086;11.3376
11;32.7974;3.27974;1.32367;6.8756
12;49.2871;4.92871;1.2685;10.2884
13;51.9557;5.19557;1.2685;26.8242
14;29.9511;2.99511;1.2685;7.78301
15;25.1778;2.51778;1.2685;6.6497
16;23.0482;2.30482;1.09896;7.21415
17;23.3827;2.33827;1.09896;6.6497
18;26.3979;2.63979;1.08042;6.73534
19;19.147;1.9147;1.08042;3.04509
20;16.9006;1.69006;1.0041;3.04509
21;15.226;1.5226;1.0041;2.60663
22;13.6581;1.36581;1.0041;1.86501
23;13.4215;1.34215;1.0041;1.87914
24;13.2169;1.32169;1.0041;1.87914
25;13.4209;1.34209;0.938779;2.42033
26;12.5974;1.25974;0.938779;1.63355
27;12.3611;1.23611;0.938779;2.06743
28;12.2452;1.22452;0.938779;1.53861
29;11.6768;1.16768;0.938779;1.53861
30;11.0424;1.10424;0.938779;1.4219
31;10.8762;1.08762;0.938779;1.35409
32;10.7612;1.07612;0.938779;1.28835
33;10.8931;1.08931;0.938779;1.2886
34;10.7289;1.07289;0.938779;1.36653
35;10.2069;1.02069;0.73923;1.13485
36;9.79068;0.979068;0.73923;1.09818
37;9.54771;0.954771;0.464077;1.09818
38;9.87341;0.987341;0.464077;1.25365
39;9.46001;0.946001;0.464077;1.04737
40;8.971;0.8971;0.464077;1.08112
41;9.69105;0.969105;0.464077;1.08715
42;9.17932;0.917932;0.464077;1.06548
43;9.21362;0.921362;0.464077;1.03048
44;9.07475;0.907475;0.464077;1.03177
45;8.5632;0.85632;0.464077;1.0478
46;8.75799;0.875799;0.464077;1.03177
47;8.8656;0.88656;0.464077;1.02369
48;8.93357;0.893357;0.420719;1.03344
49;8.44667;0.844667;0.420719;1.03023
50;8.25286;0.825286;0.420719;1.02089
51;8.66657;0.866657;0.414377;1.02318
52;7.89191;0.789191;0.414377;1.04949
53;7.81963;0.781963;0.414377;1.03104
54;7.85754;0.785754;0.414377;1.00084
55;8.01899;0.801899;0.414377;1.00198
56;7.64036;0.764036;0.396877;1.02254
57;7.81677;0.781677;0.0654994;1.00198
58;5.21458;0.521458;0.0654994;0.950763
59;5.11668;0.511668;0.0615873;0.907265
60;4.43236;0.443236;0.0615873;0.959211
61;4.59664;0.459664;0.0424979;0.959211
62;5.01352;0.501352;0.0424979;0.996388
63;3.61488;0.361488;0.0424979;0.931932
