dim;size;gen#;spawn(ms);sumSelect(ms);sumCross(ms);sumMutate(ms);sumEval(ms)
100;100;558;1.01898;162.215;359.673;29.8635;281.926
100;100;125;0.138784;35.9153;78.7907;6.47929;62.2457
100;100;1836;0.169824;531.278;1162.61;96.6721;920.913
100;100;27;0.129984;7.44051;16.4903;1.34909;13.3949
100;100;64;0.136288;18.1939;40.042;3.27949;32.0957
100;100;397;0.127552;114.386;251.67;20.7619;198.651
100;100;137;0.138528;39.1235;86.6677;7.10394;69.2322
100;100;31;0.134368;8.61418;19.0476;1.63078;15.7291
100;100;131;0.128256;37.6792;82.8369;6.90368;65.6644
100;100;2180;0.134048;630.101;1380.17;114.081;1096.67
100;100;138;0.134304;39.5707;87.2131;7.19392;68.9928
100;100;411;0.1376;118.634;260.246;21.5242;205.492
100;100;207;0.130528;59.3628;130.961;10.8747;103.927
100;100;120;0.137344;34.4316;75.3518;6.29107;60.4789
100;100;6;0.130976;1.432;3.15466;0.253248;3.24019
100;100;159;0.132288;45.9293;100.148;8.40003;79.3417
100;100;151;0.135136;43.4487;95.3315;7.94957;75.9345
100;100;306;0.131616;88.1934;193.639;16.0019;153.422
100;100;261;0.140512;75.529;164.917;13.8005;131.953
100;100;121;0.135296;34.4591;76.0195;6.20544;60.3475
100;100;125;0.132128;35.691;78.7345;6.52141;62.5907
100;100;246;0.138944;71.217;155.466;12.7593;123.21
100;100;115;0.129664;32.7812;72.3843;6.43085;58.5874
100;100;79;0.129248;22.3104;49.5533;4.13574;39.93
100;100;226;0.131392;65.074;142.831;11.9868;113.163
100;100;139;0.131904;39.9782;87.4552;7.2353;69.9158
100;100;197;0.129984;56.5738;124.236;10.3511;98.4525
100;100;271;0.135232;77.6483;171.061;14.0245;134.875
100;100;81;0.130208;23.056;50.674;4.15344;40.5198
100;100;180;0.136064;51.6664;113.401;9.30112;89.5459
100;100;418;0.1352;119.957;264.252;21.8673;208.517
100;100;61;0.137952;17.3798;38.1241;3.19258;31.1594
100;100;157;0.130816;45.6847;98.8899;8.3055;78.5419
100;100;75;0.131648;22.209;46.934;4.00262;38.3508
100;100;110;0.14176;32.0077;69.2698;5.74774;55.3289
100;100;911;0.15536;265.829;576.867;48.723;459.417
100;100;261;0.135296;75.0795;164.799;13.6131;130.291
100;100;693;0.138752;199.496;438.265;36.2378;347.355
100;100;9;0.134496;2.30003;5.10237;0.407904;4.42826
100;100;55;0.132704;15.7052;34.2486;2.81274;27.5696
100;100;3048;0.133312;880.062;1918.81;160.075;1517.01
100;100;109;0.138432;31.4011;68.5203;5.69421;54.507
100;100;581;0.132352;167.567;367.369;30.4251;290.229
100;100;50;0.138176;14.3373;31.1944;2.56349;24.9911
100;100;30;0.134336;8.37997;18.4255;1.51344;15.0839
100;100;311;0.129792;89.1793;196.374;16.0458;154.493
100;100;353;0.13648;101.116;223.065;18.537;176.352
100;100;95;0.134496;27.3275;59.5798;5.06576;47.9228
100;100;242;0.134976;69.2675;152.579;12.6424;120.841
100;100;146;0.13088;41.6469;91.8424;7.73142;73.3471
