dim;size;gen#;spawn(ms);sumSelect(ms);sumCross(ms);sumMutate(ms);sumEval(ms)
50;2;5;0.0696;0.138112;0.13088;0.107232;0.157568
50;2;5;0.12432;0.128384;0.12464;0.107488;0.146144
50;2;8;0.03424;0.203744;0.228032;0.22304;0.24464
50;2;8;0.034208;0.202976;0.245504;0.187552;0.233696
50;2;9;0.03456;0.229312;0.24592;0.226976;0.264928
50;2;4;0.037952;0.086432;0.107456;0.08096;0.117344
50;2;15;0.033632;0.402304;0.50032;0.382624;0.455936
50;2;7;0.033856;0.172864;0.199776;0.171328;0.330944
50;2;4;0.14304;0.086528;0.108224;0.081024;0.12272
50;2;5;0.03344;0.1152;0.125504;0.108096;0.147584
50;2;4;0.03424;0.086432;0.114816;0.081088;0.117312
50;2;10;0.033888;0.269888;0.320352;0.252096;0.294784
50;2;4;0.034016;0.086176;0.092224;0.081248;0.137952
50;2;8;0.03328;0.200224;0.218752;0.189056;0.256352
50;2;5;0.033312;0.117952;0.125536;0.108928;0.156384
50;2;4;0.033184;0.086272;0.138752;0.08128;0.117664
50;2;5;0.033344;0.124832;0.125152;0.107776;0.167584
50;2;6;0.033184;0.143008;0.1624;0.134816;0.189504
50;2;8;0.033056;0.216;0.40384;0.189088;0.247552
50;2;5;0.033888;0.114912;0.164256;0.119264;0.146976
50;2;5;0.033216;0.124512;0.130464;0.131296;0.146432
50;2;11;0.033216;0.28688;0.32192;0.280992;0.321728
50;2;7;0.03328;0.19472;0.19424;0.163328;0.208576
50;2;3;0.033632;0.057888;0.064448;0.054144;0.087968
50;2;8;0.033312;0.200224;0.217952;0.209664;0.235488
50;2;6;0.05504;0.150272;0.162432;0.13488;0.1752
50;2;5;0.035104;0.272224;0.261184;0.124224;0.280288
50;2;10;0.04608;0.275712;0.287008;0.242528;0.323552
50;2;9;0.045792;0.24528;0.26096;0.215968;0.310016
50;2;10;0.044992;0.268512;0.286272;0.26208;0.30704
50;2;4;0.044896;0.13968;0.144096;0.100672;0.186912
50;2;3;0.047136;0.060896;0.067232;0.05552;0.096384
50;2;5;0.045504;0.118816;0.13504;0.113184;0.351936
50;2;9;0.04864;0.240064;0.260768;0.223424;0.278304
50;2;5;0.1816;0.121344;0.131072;0.114592;0.157568
50;2;5;0.04592;0.129152;0.123424;0.109024;0.16336
50;2;7;0.036192;0.171968;0.21232;0.16224;0.207648
50;2;10;0.044096;0.2608;0.299232;0.242528;0.299744
50;2;8;0.0456;0.204384;0.223008;0.212544;0.414624
50;2;5;0.044992;0.114784;0.159968;0.107872;0.148416
50;2;4;0.045408;0.086208;0.098048;0.097728;0.124544
50;2;6;0.045248;0.143456;0.16352;0.13552;0.195936
50;2;4;0.044704;0.279808;0.09584;0.101664;0.118208
50;2;8;0.045504;0.20816;0.227936;0.188832;0.256896
50;2;4;0.045216;0.113664;0.097728;0.081152;0.13056
50;2;4;0.045504;0.086496;0.113728;0.081472;0.119712
50;2;12;0.04496;0.340768;0.355648;0.317088;0.360416
50;2;8;0.04512;0.203584;0.234848;0.18864;0.244256
50;2;4;0.045056;0.086368;0.097856;0.081056;0.11856
50;2;5;0.072064;0.154944;0.165696;0.127904;0.185792
